 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
120,24.102,23.492,26.201,29.703,29.042,23.381,25.027,25.551,27.805,19.807,28.900,18.753,23.750,19.196,40.087,24.753,24.624,22.401,25.634,21.743,27.321,27.973,23.092,23.393,25.160
121,24.125,23.449,26.183,29.686,28.967,23.372,25.029,25.579,27.769,19.762,28.854,18.736,23.715,19.167,40.049,24.706,24.597,22.367,25.609,21.680,27.286,27.935,23.069,23.359,25.231
122,24.103,23.505,26.214,29.673,28.965,23.350,24.985,25.568,27.750,19.733,28.842,18.745,23.675,19.134,40.057,24.775,24.571,22.359,25.604,21.683,27.252,27.939,23.080,23.346,25.185
123,24.125,23.528,26.247,29.733,28.989,23.337,25.015,25.563,27.720,19.751,28.836,18.742,23.696,19.135,40.056,24.753,24.574,22.403,25.640,21.695,27.271,27.946,23.043,23.323,25.168
124,24.105,23.498,26.183,29.684,29.015,23.311,25.023,25.538,27.726,19.735,28.817,18.712,23.675,19.151,39.985,24.722,24.550,22.358,25.607,21.683,27.226,27.931,23.036,23.352,25.176
125,24.122,23.475,26.211,29.671,29.064,23.337,24.982,25.570,27.740,19.715,28.833,18.744,23.685,19.169,40.024,24.733,24.547,22.404,25.605,21.676,27.225,27.947,23.063,23.375,25.191
126,24.146,23.472,26.146,29.606,28.974,23.309,24.950,25.529,27.647,19.719,28.750,18.733,23.654,19.123,39.988,24.738,24.520,22.328,25.542,21.638,27.205,27.920,23.022,23.305,25.143
127,24.089,23.450,26.099,29.631,28.980,23.323,24.974,25.496,27.646,19.720,28.755,18.708,23.633,19.102,39.970,24.679,24.495,22.309,25.511,21.635,27.202,27.952,23.044,23.313,25.131
128,24.088,23.473,26.106,29.630,29.006,23.304,24.930,25.498,27.663,19.715,28.807,18.775,23.681,19.120,39.939,24.697,24.480,22.351,25.500,21.633,27.204,27.944,23.022,23.318,25.117
129,24.107,23.457,26.134,29.610,28.975,23.301,25.001,25.563,27.611,19.703,28.803,18.742,23.688,19.097,39.968,24.712,24.520,22.305,25.532,21.614,27.191,27.935,22.999,23.343,25.126
130,24.067,23.505,26.112,29.669,29.069,23.338,24.963,25.549,27.606,19.686,28.801,18.737,23.683,19.106,39.973,24.671,24.521,22.339,25.505,21.626,27.212,27.903,23.065,23.306,25.155
