 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2376,20.054,13.909,17.144,13.537,14.092,21.329,24.257,25.408,24.815,22.481,33.278,33.457,29.767,24.454,25.236,24.997,23.923,21.907,33.467,23.351,25.074,21.502
2377,20.035,13.912,17.090,13.520,14.094,21.300,24.242,25.403,24.835,22.513,33.292,33.423,29.744,24.446,25.194,24.982,23.939,21.890,33.446,23.383,25.055,21.497
2378,20.065,13.933,17.124,13.527,14.128,21.335,24.263,25.417,24.852,22.527,33.316,33.455,29.787,24.457,25.244,25.011,23.946,21.914,33.414,23.380,25.090,21.502
2379,20.084,13.914,17.168,13.558,14.112,21.367,24.267,25.437,24.885,22.515,33.366,33.500,29.827,24.475,25.266,24.985,23.937,21.930,33.473,23.416,25.117,21.531
2380,20.086,13.920,17.094,13.525,14.112,21.330,24.274,25.420,24.909,22.514,33.318,33.484,29.792,24.476,25.218,25.025,23.978,21.907,33.495,23.404,25.097,21.520
2381,20.072,13.943,17.094,13.536,14.100,21.345,24.285,25.404,24.871,22.542,33.342,33.467,29.801,24.511,25.231,25.044,23.950,21.936,33.492,23.404,25.091,21.530
2382,20.084,13.932,17.159,13.520,14.125,21.313,24.281,25.402,24.848,22.529,33.360,33.491,29.819,24.491,25.255,25.055,23.995,21.920,33.467,23.378,25.124,21.531
2383,20.097,13.955,17.161,13.519,14.077,21.339,24.295,25.422,24.881,22.562,33.360,33.488,29.812,24.500,25.272,25.045,23.974,21.921,33.502,23.394,25.073,21.534
2384,20.124,13.925,17.155,13.562,14.104,21.372,24.322,25.461,24.879,22.538,33.420,33.554,29.828,24.515,25.271,25.066,23.974,21.985,33.524,23.419,25.113,21.560
2385,20.101,13.951,17.158,13.559,14.132,21.369,24.303,25.451,24.909,22.537,33.375,33.527,29.802,24.543,25.247,25.086,23.980,21.981,33.518,23.388,25.102,21.545
2386,20.100,13.927,17.161,13.546,14.152,21.380,24.327,25.432,24.878,22.472,33.410,33.490,29.816,24.476,25.251,25.059,23.959,21.952,33.464,23.367,25.093,21.532
2387,20.088,13.922,17.129,13.558,14.139,21.381,24.271,25.408,24.832,22.514,33.371,33.466,29.804,24.505,25.229,25.025,23.978,21.898,33.507,23.390,25.085,21.521
2388,20.090,13.937,17.148,13.571,14.131,21.366,24.302,25.439,24.900,22.482,33.375,33.494,29.795,24.480,25.267,25.003,23.993,21.909,33.484,23.369,25.090,21.527
2389,20.103,13.923,17.111,13.535,14.120,21.386,24.308,25.415,24.812,22.449,33.366,33.466,29.784,24.491,25.244,25.028,23.955,21.903,33.500,23.426,25.096,21.530
2390,20.082,13.948,17.097,13.554,14.121,21.315,24.281,25.424,24.857,22.471,33.339,33.486,29.800,24.487,25.225,25.000,23.944,21.869,33.470,23.418,25.075,21.509
2391,20.062,13.939,17.083,13.536,14.134,21.338,24.242,25.374,24.814,22.464,33.298,33.448,29.743,24.459,25.219,25.005,23.910,21.885,33.479,23.386,25.057,21.493
