# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.85350,1.21048,1.23713,1.60468,1.91534,2.02161,1.12738,1.03777,1.12880,1.15734
4.86542,1.20587,1.24165,1.60929,1.90819,2.02144,1.13373,1.04006,1.13402,1.15967
4.87735,1.20268,1.24747,1.61614,1.90022,2.02340,1.14011,1.04213,1.13994,1.16016
4.88927,1.20058,1.25138,1.62040,1.88966,2.02644,1.14480,1.04386,1.14565,1.16125
4.90120,1.19915,1.25617,1.62377,1.87938,2.03154,1.14702,1.04529,1.15150,1.16122
4.91312,1.20035,1.26101,1.62749,1.87359,2.03619,1.14770,1.04682,1.15731,1.16138
4.92504,1.20236,1.26517,1.63063,1.86568,2.04089,1.14720,1.04671,1.16175,1.16104
4.93697,1.20402,1.27000,1.63283,1.86107,2.04305,1.14717,1.04737,1.16542,1.16004
4.94889,1.20773,1.27552,1.63369,1.85636,2.04716,1.14554,1.04746,1.16850,1.15871
4.96082,1.21248,1.28170,1.63458,1.85434,2.04936,1.14386,1.04665,1.17060,1.15719
4.97274,1.21628,1.28772,1.63521,1.85265,2.04866,1.14244,1.04639,1.17225,1.15516
4.98466,1.22130,1.29320,1.63228,1.85277,2.04882,1.14064,1.04580,1.17319,1.15319
4.99659,1.22742,1.29781,1.63195,1.85536,2.04819,1.13926,1.04594,1.17331,1.15038
5.00851,1.23333,1.30285,1.63175,1.85552,2.04954,1.13730,1.04591,1.17366,1.14758
5.02043,1.24014,1.30703,1.63026,1.85892,2.05073,1.13512,1.04695,1.17321,1.14450
5.03236,1.24970,1.31027,1.62981,1.86194,2.05305,1.13348,1.04897,1.17345,1.14136
5.04428,1.25895,1.31399,1.62910,1.86421,2.05564,1.13042,1.05166,1.17300,1.13814
5.05621,1.26991,1.31638,1.63040,1.87015,2.05662,1.12831,1.05468,1.17222,1.13490
5.06813,1.28195,1.31952,1.63080,1.87611,2.05939,1.12796,1.05897,1.17140,1.13236
5.08005,1.29387,1.32210,1.63400,1.88095,2.05878,1.12800,1.06438,1.16982,1.12958
5.09198,1.30567,1.32611,1.63636,1.88740,2.05806,1.12822,1.07045,1.16831,1.12813
5.10390,1.31673,1.33065,1.64105,1.89506,2.05621,1.13090,1.07583,1.16612,1.12833
5.11583,1.32702,1.33433,1.64581,1.90268,2.05598,1.13328,1.08130,1.16291,1.12945
5.12775,1.33408,1.33877,1.65316,1.90802,2.05319,1.13765,1.08686,1.16028,1.13259
5.13967,1.34064,1.34260,1.65921,1.91324,2.04960,1.14070,1.09125,1.15624,1.13779
5.15160,1.34423,1.34899,1.66643,1.91851,2.04899,1.14393,1.09471,1.15187,1.14443
5.16352,1.34468,1.35256,1.67222,1.92264,2.04867,1.14652,1.09675,1.14836,1.15344
5.17545,1.34387,1.35721,1.67710,1.92539,2.05012,1.14797,1.09843,1.14437,1.16344
5.18737,1.34022,1.36304,1.68118,1.92548,2.05283,1.14758,1.09833,1.14177,1.17377
5.19929,1.33507,1.37001,1.68385,1.92491,2.05653,1.14635,1.09866,1.14014,1.18422
5.21122,1.32737,1.37753,1.68500,1.92725,2.06065,1.14346,1.09766,1.13975,1.19439
5.22314,1.32108,1.38537,1.68564,1.92668,2.06378,1.14006,1.09660,1.14073,1.20263
5.23506,1.31303,1.39490,1.68337,1.92772,2.06519,1.13621,1.09499,1.14301,1.20890
5.24699,1.30613,1.40523,1.68040,1.93106,2.06338,1.13167,1.09465,1.14723,1.21301
5.25891,1.30175,1.41608,1.67494,1.93437,2.06129,1.12817,1.09390,1.15154,1.21450
5.27084,1.29638,1.42650,1.67064,1.94023,2.05813,1.12439,1.09337,1.15633,1.21392
5.28276,1.29481,1.43404,1.66539,1.94520,2.05445,1.12227,1.09372,1.16138,1.21123
5.29468,1.29548,1.44211,1.65931,1.95022,2.04996,1.12010,1.09354,1.16575,1.20701
5.30661,1.29875,1.44772,1.65351,1.95812,2.04758,1.11827,1.09397,1.17027,1.20087
5.31853,1.30171,1.45080,1.64917,1.96436,2.04479,1.11710,1.09401,1.17338,1.19463
5.33046,1.30858,1.45281,1.64679,1.97290,2.04357,1.11671,1.09361,1.17513,1.18743
5.34238,1.31635,1.45307,1.64366,1.97773,2.04290,1.11649,1.09411,1.17590,1.18076
5.35430,1.32533,1.45398,1.64381,1.98374,2.04348,1.11697,1.09281,1.17624,1.17396
5.36623,1.33405,1.45417,1.64646,1.99278,2.04531,1.11801,1.09206,1.17467,1.16904
5.37815,1.34266,1.45557,1.64977,1.99846,2.04542,1.11942,1.09116,1.17293,1.16440
5.39008,1.35084,1.45854,1.65603,2.00388,2.04749,1.12192,1.09018,1.17010,1.16199
5.40200,1.35657,1.46172,1.66365,2.00745,2.04759,1.12476,1.08950,1.16750,1.16172
5.41392,1.36159,1.46723,1.67165,2.00768,2.04858,1.13012,1.08862,1.16489,1.16294
5.42585,1.36577,1.47209,1.68117,2.00670,2.05334,1.13468,1.08895,1.16250,1.16504
