# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.36462,428.00000,435.00000,438.20000,328.25000,361.37500,687.42857,1122.77778,1059.44444,987.20000
4.37654,427.55556,434.33333,437.30000,328.37500,360.50000,687.14286,1121.88889,1060.44444,985.20000
4.38847,427.33333,433.55556,436.70000,328.25000,360.12500,686.57143,1120.44444,1061.77778,983.10000
4.40039,426.55556,433.11111,435.80000,328.12500,359.62500,685.85714,1119.11111,1062.88889,981.70000
4.41232,426.00000,432.55556,435.10000,327.75000,359.50000,684.71429,1116.88889,1064.22222,980.30000
4.42424,425.11111,432.44444,434.70000,327.37500,359.50000,683.85714,1114.66667,1065.11111,979.20000
4.43616,424.22222,432.55556,434.40000,326.62500,359.50000,682.71429,1112.22222,1065.33333,978.70000
4.44809,423.33333,432.88889,433.90000,325.75000,359.87500,681.42857,1110.11111,1064.77778,978.10000
4.46001,422.33333,433.11111,433.70000,324.75000,360.37500,680.14286,1108.11111,1063.66667,978.00000
4.47194,421.33333,433.77778,433.40000,323.75000,360.87500,678.28571,1106.33333,1061.88889,978.20000
4.48386,420.66667,434.44444,433.00000,323.12500,361.25000,676.71429,1105.33333,1059.22222,978.60000
4.49578,419.77778,435.11111,432.40000,322.37500,361.75000,675.28571,1104.66667,1056.22222,979.10000
4.50771,419.00000,436.00000,431.90000,321.75000,362.62500,673.71429,1104.11111,1052.66667,980.10000
4.51963,418.55556,437.00000,431.00000,321.37500,363.37500,672.42857,1104.33333,1049.33333,981.10000
4.53155,417.88889,437.77778,430.20000,321.12500,364.00000,670.85714,1103.88889,1046.00000,982.20000
4.54348,417.77778,438.44444,429.70000,321.00000,364.75000,669.42857,1104.11111,1042.88889,983.40000
4.55540,417.44444,439.00000,429.00000,321.25000,365.50000,668.14286,1103.55556,1040.66667,984.60000
4.56733,417.55556,439.33333,428.60000,321.12500,366.00000,667.00000,1102.66667,1038.77778,985.30000
4.57925,417.55556,439.66667,428.40000,321.50000,366.50000,666.00000,1101.88889,1038.00000,986.00000
4.59117,417.77778,439.77778,428.70000,321.62500,366.50000,665.42857,1101.22222,1037.44444,986.20000
4.60310,418.00000,439.55556,428.80000,321.75000,366.25000,665.00000,1100.00000,1037.88889,986.40000
4.61502,418.11111,439.33333,429.20000,321.87500,366.00000,665.14286,1099.66667,1038.77778,986.20000
4.62695,418.11111,438.88889,429.40000,322.12500,365.25000,665.42857,1099.33333,1040.33333,985.90000
4.63887,418.22222,438.44444,429.80000,322.37500,364.12500,666.14286,1099.33333,1042.00000,985.40000
4.65079,418.22222,437.88889,430.20000,322.87500,363.00000,667.42857,1099.44444,1043.55556,985.10000
4.66272,418.22222,437.44444,430.40000,323.50000,361.87500,669.00000,1099.44444,1045.33333,984.60000
4.67464,418.22222,436.66667,430.80000,324.00000,360.37500,670.85714,1099.44444,1047.11111,984.30000
4.68657,418.11111,436.22222,430.90000,324.62500,359.37500,672.71429,1099.22222,1049.22222,983.90000
4.69849,418.44444,435.77778,430.90000,325.25000,358.12500,674.85714,1098.66667,1051.22222,983.20000
4.71041,418.33333,435.33333,430.80000,325.87500,357.37500,676.57143,1097.66667,1053.44444,982.30000
4.72234,418.66667,434.77778,430.90000,326.25000,356.50000,678.42857,1096.33333,1055.44444,981.70000
