# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.29308,479.33333,499.33333,686.50000,623.62500,744.25000,739.00000,1144.77778,1147.55556,1108.30000
4.30500,480.11111,498.33333,684.40000,622.25000,747.00000,742.14286,1142.88889,1143.33333,1105.90000
4.31692,480.44444,498.00000,682.40000,621.50000,750.12500,744.28571,1141.33333,1139.55556,1102.60000
4.32885,480.88889,498.22222,679.90000,621.62500,754.25000,746.14286,1140.11111,1136.22222,1098.80000
4.34077,481.00000,498.77778,677.30000,621.87500,758.12500,747.28571,1139.11111,1133.66667,1094.60000
4.35270,481.22222,499.77778,674.60000,622.62500,762.50000,748.14286,1138.33333,1131.88889,1090.10000
4.36462,481.00000,501.00000,671.90000,623.62500,766.50000,748.57143,1137.66667,1131.11111,1085.70000
4.37654,480.77778,502.55556,669.40000,624.87500,770.75000,749.57143,1136.88889,1131.66667,1082.00000
4.38847,480.88889,504.00000,666.90000,626.00000,774.50000,750.71429,1136.11111,1133.22222,1078.60000
4.40039,481.11111,505.33333,664.40000,627.12500,778.50000,751.42857,1135.00000,1136.00000,1075.90000
4.41232,481.66667,506.11111,662.60000,628.00000,782.00000,753.14286,1133.22222,1139.66667,1074.20000
4.42424,482.66667,507.00000,660.90000,628.62500,785.12500,754.85714,1131.22222,1144.88889,1073.20000
4.43616,484.22222,507.66667,659.60000,629.12500,787.75000,756.57143,1128.33333,1150.66667,1073.10000
4.44809,486.22222,508.00000,658.70000,629.25000,789.37500,758.14286,1125.77778,1157.22222,1073.30000
4.46001,488.77778,507.88889,657.80000,629.25000,790.37500,759.71429,1122.55556,1164.00000,1073.70000
4.47194,491.88889,508.00000,657.30000,628.75000,790.62500,760.71429,1119.66667,1170.66667,1074.60000
4.48386,494.88889,507.88889,656.90000,628.37500,790.12500,761.28571,1117.11111,1176.66667,1075.50000
4.49578,498.44444,507.55556,657.00000,627.25000,788.87500,762.00000,1114.77778,1181.55556,1076.50000
4.50771,501.33333,507.77778,657.10000,626.37500,787.50000,761.71429,1113.33333,1185.11111,1077.50000
4.51963,504.22222,507.66667,658.00000,625.25000,785.37500,761.57143,1112.66667,1187.55556,1078.60000
4.53155,506.22222,507.66667,659.10000,623.87500,783.12500,761.42857,1112.22222,1188.00000,1079.60000
4.54348,507.44444,507.55556,660.60000,622.75000,781.12500,761.14286,1112.55556,1187.33333,1080.40000
4.55540,507.55556,507.55556,662.50000,621.37500,779.00000,761.14286,1113.55556,1185.33333,1081.60000
4.56733,506.66667,507.00000,665.00000,620.50000,777.00000,761.57143,1114.88889,1182.44444,1082.60000
4.57925,504.66667,506.77778,667.20000,619.75000,775.00000,762.14286,1116.33333,1178.66667,1083.60000
4.59117,501.88889,505.88889,669.90000,619.12500,773.12500,762.71429,1118.33333,1175.00000,1084.40000
4.60310,498.33333,505.00000,672.20000,618.87500,771.50000,763.14286,1120.33333,1171.11111,1085.30000
4.61502,494.00000,504.00000,674.60000,619.00000,770.62500,763.42857,1122.66667,1167.44444,1086.00000
4.62695,490.00000,503.22222,676.80000,618.75000,769.25000,763.14286,1124.66667,1164.77778,1086.60000
4.63887,485.88889,502.88889,678.60000,619.50000,768.25000,762.28571,1126.88889,1162.55556,1086.90000
