time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
3.21993, 0.43152, 0.40384, 0.45469, 0.39623, 0.46020, 0.42416, 0.37819, 0.31245, 0.31823, 0.32728, 0.36926, 0.37795, 0.35414, 0.38465, 0.41407, 0.38712, 
3.23185, 0.40919, 0.49677, 0.44331, 0.39653, 0.38932, 0.35913, 0.36546, 0.31106, 0.43858, 0.37209, 0.40981, 0.41883, 0.40842, 0.31057, 0.37099, 0.39334, 
3.24377, 0.36008, 0.33642, 0.49368, 0.33332, 0.48728, 0.36997, 0.40261, 0.26535, 0.35427, 0.34922, 0.28012, 0.34187, 0.43205, 0.40518, 0.36588, 0.37182, 
3.25570, 0.34557, 0.46201, 0.43369, 0.37221, 0.39485, 0.37368, 0.34380, 0.39041, 0.38441, 0.34419, 0.32048, 0.33439, 0.39810, 0.34722, 0.34979, 0.37299, 
3.26762, 0.39080, 0.39879, 0.34186, 0.38762, 0.41312, 0.43205, 0.35477, 0.36577, 0.27503, 0.31244, 0.38039, 0.33173, 0.34789, 0.34116, 0.39288, 0.36442, 
3.27955, 0.49742, 0.46110, 0.41948, 0.47964, 0.37488, 0.29976, 0.40163, 0.34596, 0.32915, 0.31150, 0.40312, 0.35537, 0.42728, 0.40009, 0.39638, 0.39352, 
3.29147, 0.42038, 0.40020, 0.35664, 0.47286, 0.42829, 0.43855, 0.39956, 0.34196, 0.34345, 0.34704, 0.39604, 0.31775, 0.39415, 0.37463, 0.42641, 0.39053, 
3.30339, 0.38615, 0.42006, 0.39888, 0.41657, 0.38434, 0.40392, 0.44609, 0.36228, 0.37080, 0.37392, 0.38173, 0.35383, 0.34092, 0.36769, 0.39608, 0.38688, 
3.31532, 0.40940, 0.54142, 0.40369, 0.37051, 0.40742, 0.38560, 0.41139, 0.39797, 0.32793, 0.33912, 0.30715, 0.33329, 0.42829, 0.34989, 0.36801, 0.38541, 
3.32724, 0.40410, 0.36954, 0.45993, 0.42150, 0.37541, 0.34428, 0.40168, 0.35502, 0.30989, 0.33820, 0.32934, 0.39608, 0.37645, 0.46875, 0.37853, 0.38191, 
3.33916, 0.37049, 0.36835, 0.35281, 0.41151, 0.43302, 0.44730, 0.35235, 0.30815, 0.33509, 0.33243, 0.33056, 0.39990, 0.37941, 0.35488, 0.34157, 0.36786, 
3.35109, 0.41315, 0.40688, 0.47535, 0.36557, 0.36100, 0.44619, 0.40548, 0.29368, 0.35639, 0.30568, 0.36175, 0.34962, 0.33473, 0.33652, 0.36645, 0.37190, 
3.36301, 0.42244, 0.42339, 0.36308, 0.39292, 0.36265, 0.44580, 0.34284, 0.35062, 0.37304, 0.39693, 0.32956, 0.39787, 0.38128, 0.32981, 0.36637, 0.37857, 
3.37494, 0.43589, 0.42830, 0.48755, 0.35931, 0.38246, 0.33846, 0.37822, 0.36138, 0.32090, 0.39498, 0.31041, 0.29912, 0.38559, 0.38083, 0.31652, 0.37200, 
3.38686, 0.38200, 0.43344, 0.40463, 0.39660, 0.38492, 0.42000, 0.36234, 0.35275, 0.36461, 0.32978, 0.31893, 0.36130, 0.38599, 0.36561, 0.34874, 0.37411, 
